1|Arroz Blanco|354|Se trata de un cereal considerado alimento básico en muchas culturas|Energético|comida
2|Lentejas|336|La lenteja es un alimento con una alta concentración de nutrientes. Los hidratos de carbono son los más abundantes y están formados fundamentalmente por almidón.|Formador|desayuno,comida
3|Huevo entero|166|Los huevos de las aves constituyen un alimento habitual en la alimentación de los humanos. Se presentan protegidos por una cáscara y son ricos en proteína|Formador|desayuno,comida
4|Galletas saladas|464|Un rico aperitivo a la hora de comer|Grasas|comida,entremes
5|Caramelo|378|Es un alimento preparado generalmente a base de azúcar|Energético|comida
6|Calabaza|24|Es un alimento rico en agua y en fibra, con bajo aporte calórico, ideal para personas de sobrepeso y problemas digestivos.|Regulador|comida,cena
7|Zanahoria|42|La zanahoria es una fuente muy rica de antioxidantes. La zanahoria es un alimento estupendo para personas con estómago delicado, úlcera o gastritis. Consumir al vapor para estos casos.|Regulador|desayuno,comida,cena,entremes
8|Mango|57|Los mangos son ricos en vitamina C, también tiene una buena cantidad de minerales como el calcio, el cobre, el magnesio y el potasio|Regulador|desayuno,comida,cena,entremes
9|Chorizo|468|El chorizo, carne rica en sodio del grupo de las carnes y derivados.|Formador|desayuno,comida,cena
10|Leche de almendras|335|La leche de almendras es uno de los mejores alimentos para perder peso. Además, no tiene lactosa y es rica en antioxidantes y minerales esenciales|Grasas|desayuno,comida
11|Sandwich de huevo con verduras|200|Prepara un huevo revuelto sazonado con orégano y si quieres agrega un poco de cebolla. Colócalo entre 2 panes integrales tostados y decora con 4 rebanadas de jitomate.|Formador|desayuno
12|Pollo a la naranja con espárragos|600|Corta una pechuga de pollo en cuadritos. Cocínala en un sartén con un poco de aceite de oliva y sazónala con ajo y un poco de pimienta. Cuando cambie de color agrega 1 taza de espárragos rebanados y cocina durante 3 minutos más. Agrega 1 cucharada de salsa de soya y 2 cucharadas de jugo de naranja.|Regulador|comida
13|Sándwich de salmón con aguacate|300|Haz un guacamole con 1/3 de aguacate, cebolla y jitomate. Úntalo sobre una rebanada de pan y coloca un trozo de salmón fresco encima.|Formador|desayuno,cena
14|Taza de avena cocida con una vaso de leche descremada|110|Prepara una rica taza de avena para despertar tu dia|Energetico|desayuno,cena
15|Café al gusto sin azúcar|120|Nada como una taza de café para despertar tu día|Energetico|desayuno,cena,entremes
16|Papaya|45|La papaya es una fruta tropical con muchas propiedades medicinales y un gran sabor, utilizado para elaborar postres, jugos, yogures|Regulador|desayuno,comida,cena,entremes
17|Dos huevos revueltos, rebanada de pan integral, zumo de frutas(toronja,najanja,zanahoria)|180|Un desayuno completo y rico para acompañar tu dia|Energetico|desayuno,comida
18|Pudín de chia|200|La combinación de semilla de chia, leche y jarabe de arce es saludable y deliciosa por si sola, pero la verdadera mina de oro son las tres variaciones propuestas.|Regulador|desayuno,entremes,comida
19|Panecillos de zanahoria|120|Con o sin azúcar en esta receta, la avena, zanahoria, leche descremada y banano superan el juego del panecillo saludable en la mañana.|Regulador|desayuno,cena,entremes
20|Sándwich de manzana y mantequilla de maní|100|Nada de carbohidratos, gluten, ni productos animales. Sólo fruta y frutos secos son el paquete perfecto para comer sobre la marcha.|Energetico|desayuno,entremes
